dataset,method,time,accuracy,random_state,iters,product
kin8nm,IWLS,0.015121792006539181,0.8047295386557365,420,6,True
kin8nm,SGD,0.5328056250000373,0.721731479770616,420,5,True
kin8nm,ADAM,1.570776874999865,0.8039301781441459,420,11,True
kin8nm,LDA,0.017545332993904594,0.8008410173269835,420,-1,True
kin8nm,QDA,0.0074080409976886585,0.8147652549046098,420,-1,True
kin8nm,DecisionTree,0.7925811249951948,0.7836693362791126,420,-1,True
kin8nm,RandomForest,6.492077041002631,0.8533968185849001,420,-1,True
kin8nm,IWLS,0.020810041998629458,0.796219693673396,69,8,True
kin8nm,SGD,0.5947275409998838,0.7375001407324844,69,6,True
kin8nm,ADAM,1.628596959002607,0.7938361820899535,69,12,True
kin8nm,LDA,0.014930000004824251,0.7854200483854838,69,-1,True
kin8nm,QDA,0.013760249996266793,0.8027457073280895,69,-1,True
kin8nm,DecisionTree,0.6923223750054603,0.7935676313961258,69,-1,True
kin8nm,RandomForest,6.489344374997017,0.870882746992133,69,-1,True
kin8nm,IWLS,0.015337124998040963,0.7911258400073644,42,8,True
kin8nm,SGD,0.9714820419976604,0.7284074976969542,42,10,True
kin8nm,ADAM,1.6587254159967415,0.7907407297028988,42,12,True
kin8nm,LDA,0.01893174999713665,0.7855511779474516,42,-1,True
kin8nm,QDA,0.00881262499751756,0.8014738168040547,42,-1,True
kin8nm,DecisionTree,0.7174987910038908,0.7773681634642575,42,-1,True
kin8nm,RandomForest,6.339394458002062,0.8561154390489265,42,-1,True
kin8nm,IWLS,0.0158902080002008,0.8005953149659228,24,6,True
kin8nm,SGD,0.9411544579998008,0.7550526273264735,24,10,True
kin8nm,ADAM,1.028437250002753,0.8021357561837854,24,7,True
kin8nm,LDA,0.015576415993564297,0.7998605258295435,24,-1,True
kin8nm,QDA,0.015811749995918944,0.816241124747261,24,-1,True
kin8nm,DecisionTree,0.7318396670016227,0.7688228870093652,24,-1,True
kin8nm,RandomForest,6.472692082999856,0.8563548498400948,24,-1,True
kin8nm,IWLS,0.01586962500005029,0.7938216121386238,96,7,True
kin8nm,SGD,0.5253305829974124,0.7366133605129153,96,5,True
kin8nm,ADAM,0.7847754999966128,0.7896936800187025,96,5,True
kin8nm,LDA,0.02382312499685213,0.7837484776056537,96,-1,True
kin8nm,QDA,0.010115625002072193,0.8021711876563372,96,-1,True
kin8nm,DecisionTree,0.6967221250015427,0.7881386688495102,96,-1,True
kin8nm,RandomForest,6.3493840000010096,0.8596251416431064,96,-1,True
kin8nm,IWLS,0.013905708001402672,0.8004933253066147,1312,6,True
kin8nm,SGD,0.5247271670014015,0.7431996407844726,1312,5,True
kin8nm,ADAM,1.7557318340041093,0.7971938936009436,1312,13,True
kin8nm,LDA,0.018274875001225155,0.7932325225155419,1312,-1,True
kin8nm,QDA,0.010147834000235889,0.8201359376459065,1312,-1,True
kin8nm,DecisionTree,0.7048335829967982,0.7875787191290877,1312,-1,True
kin8nm,RandomForest,6.453937958998722,0.8746901401828,1312,-1,True
kin8nm,IWLS,0.01672225000220351,0.7815106655355086,777,8,True
kin8nm,SGD,0.8949447499981034,0.7416217812825133,777,9,True
kin8nm,ADAM,1.2459143340020091,0.773371360906304,777,8,True
kin8nm,LDA,0.01743329199962318,0.7680652495402187,777,-1,True
kin8nm,QDA,0.017541667002660688,0.7934282234527208,777,-1,True
kin8nm,DecisionTree,0.7179641659968183,0.7945835543661177,777,-1,True
kin8nm,RandomForest,6.4736179589963285,0.8564922709719549,777,-1,True
phoneme,IWLS,0.005025250000471715,0.777127604968689,420,5,True
phoneme,SGD,0.662636624998413,0.6978639623388623,420,10,True
phoneme,ADAM,0.46254808400408365,0.7791312860222623,420,5,True
phoneme,LDA,0.004364749998785555,0.7006027541906815,420,-1,True
phoneme,QDA,0.0018946249983855523,0.8016575740243741,420,-1,True
phoneme,DecisionTree,0.2611893749999581,0.8273791191869417,420,-1,True
phoneme,RandomForest,2.0407905829997617,0.8781695924443076,420,-1,True
phoneme,IWLS,0.004446209000889212,0.7755272265974453,69,5,True
phoneme,SGD,0.3756136250012787,0.7485572763136668,69,6,True
phoneme,ADAM,0.4866232089989353,0.7786619883555517,69,5,True
phoneme,LDA,0.011294750001979992,0.705046416472348,69,-1,True
phoneme,QDA,0.0017634169998927973,0.8023835188525672,69,-1,True
phoneme,DecisionTree,0.23389733300427906,0.8227576370862482,69,-1,True
phoneme,RandomForest,2.103745041997172,0.8681016909381554,69,-1,True
phoneme,IWLS,0.006850707999547012,0.7761413465909924,42,7,True
phoneme,SGD,0.7045919580050395,0.7063754821300248,42,12,True
phoneme,ADAM,0.6378855419970932,0.7820717292152464,42,7,True
phoneme,LDA,0.005976541004201863,0.6911324739319812,42,-1,True
phoneme,QDA,0.001800375001039356,0.7986676345931043,42,-1,True
phoneme,DecisionTree,0.22932795900123892,0.8101195975772508,42,-1,True
phoneme,RandomForest,2.063023457994859,0.8692327716426885,42,-1,True
phoneme,IWLS,0.0073527909989934415,0.7684327657764676,24,8,True
phoneme,SGD,0.40507016699848464,0.6780196371742414,24,6,True
phoneme,ADAM,0.5122680419954122,0.7698223268364938,24,5,True
phoneme,LDA,0.006612166995182633,0.6854275741710296,24,-1,True
phoneme,QDA,0.001960415997018572,0.7998958745801985,24,-1,True
phoneme,DecisionTree,0.314953458000673,0.8202516608737735,24,-1,True
phoneme,RandomForest,2.049862750005559,0.8659843518559256,24,-1,True
phoneme,IWLS,0.004214292006508913,0.7746381275023098,96,5,True
phoneme,SGD,0.4429120410059113,0.7567846510331881,96,7,True
phoneme,ADAM,0.5625983749996522,0.7773530878319914,96,6,True
phoneme,LDA,0.004996541996661108,0.7000527959875049,96,-1,True
phoneme,QDA,0.001625749995582737,0.8106585566163638,96,-1,True
phoneme,DecisionTree,0.22610070900555002,0.8383837828325047,96,-1,True
phoneme,RandomForest,2.1296782909994363,0.8725618519659173,96,-1,True
phoneme,IWLS,0.004883959001745097,0.7781450276445657,1312,6,True
phoneme,SGD,1.0966662080027163,0.7257853403141361,1312,18,True
phoneme,ADAM,0.5344055829991703,0.7783228474635928,1312,5,True
phoneme,LDA,0.004656167002394795,0.7052407350374705,1312,-1,True
